index,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes
45,tm336403,Khoon Khoon,MOVIE,1973,,131,"['drama', 'crime', 'thriller']",['IN'],,tt0230412,5.1,41.0
46,tm119776,Top Gun,MOVIE,1986,PG,110,"['drama', 'action']",['US'],,tt0092099,6.9,329656.0
47,ts20681,Seinfeld,SHOW,1989,TV-PG,24,['comedy'],['US'],9.0,tt0098904,8.9,302700.0
48,tm111075,Stand by Me,MOVIE,1986,R,89,['drama'],['US'],,tt0092005,8.1,392790.0
49,tm180542,Once Upon a Time in America,MOVIE,1984,R,229,"['drama', 'crime', 'european']","['US', 'IT']",,tt0087843,8.3,342335.0
50,tm138875,When Harry Met Sally...,MOVIE,1989,R,96,"['romance', 'comedy', 'drama']",['US'],,tt0098635,7.7,212913.0
51,tm155792,Teenage Mutant Ninja Turtles,MOVIE,1990,PG,93,"['scifi', 'action', 'comedy', 'family']","['HK', 'US']",,tt0100758,6.7,92647.0
52,tm22327,Full Metal Jacket,MOVIE,1987,R,116,"['drama', 'war']","['GB', 'US']",,tt0093058,8.3,723306.0
53,tm54450,Christine,MOVIE,1983,R,90,"['horror', 'thriller', 'european']",['US'],,tt0085333,6.7,80945.0
54,tm2386,A Nightmare on Elm Street,MOVIE,1984,R,91,['horror'],['US'],,tt0087800,7.4,230543.0
55,ts22082,Knight Rider,SHOW,1982,TV-PG,51,"['action', 'scifi', 'crime', 'drama']",['US'],4.0,tt0083437,6.9,33760.0
56,tm145608,Awakenings,MOVIE,1990,PG-13,120,"['drama', 'european']",['US'],,tt0099077,7.8,137549.0
57,ts21715,Thomas & Friends,SHOW,1984,TV-Y,10,"['family', 'comedy', 'music', 'action', 'animation', 'fantasy', 'drama']",['GB'],24.0,tt0086815,6.5,4948.0
58,tm41289,Annie,MOVIE,1982,PG,127,"['drama', 'family', 'comedy']",['US'],,tt0083564,6.6,44866.0
59,tm132694,Pet Sematary,MOVIE,1989,R,103,"['horror', 'fantasy', 'thriller']",['US'],,tt0098084,6.5,102212.0
60,ts20678,Saved by the Bell,SHOW,1989,TV-G,23,"['comedy', 'romance', 'family']",['US'],5.0,tt0096694,7.1,34854.0
61,tm117580,She's Gotta Have It,MOVIE,1986,R,84,"['comedy', 'romance']",['US'],,tt0091939,6.7,14277.0
62,tm20712,Eddie Murphy Raw,MOVIE,1987,R,93,"['comedy', 'documentation']",['US'],,tt0092948,7.6,19646.0
63,tm130586,Endless Love,MOVIE,1981,R,116,"['drama', 'romance']",['US'],,tt0082329,4.9,8374.0
64,ts25028,Wheel of Fortune,SHOW,1983,TV-G,26,['family'],['US'],39.0,tt0072584,6.7,3126.0
65,ts23753,Major Dad,SHOW,1989,TV-PG,24,"['comedy', 'family']",['US'],4.0,tt0096643,6.4,2866.0
66,ts2760,Fireman Sam,SHOW,1987,TV-Y,10,"['comedy', 'animation', 'family', 'crime', 'european']",['GB'],13.0,tt0329829,6.1,1759.0
67,ts987,Danger Mouse,SHOW,1981,TV-Y,15,"['comedy', 'family', 'scifi', 'animation', 'european']",['GB'],10.0,tt0081848,7.4,3514.0
68,tm125985,Mobile Suit Gundam II: Soldiers of Sorrow,MOVIE,1981,,133,"['scifi', 'drama', 'war', 'animation', 'action']",['JP'],,tt0159510,7.2,1242.0
69,tm40103,Mobile Suit Gundam: Char's Counterattack,MOVIE,1988,,120,"['scifi', 'animation', 'action', 'drama', 'war']",['JP'],,tt0095262,7.3,1649.0
70,tm21953,Sam Kinison: Breaking the Rules,MOVIE,1987,R,50,"['comedy', 'documentation']",['US'],,tt0307403,7.2,651.0
71,tm152839,Tim Allen: Men Are Pigs,MOVIE,1990,,30,"['comedy', 'documentation']",['US'],,tt0259057,6.0,353.0
72,tm62924,Monty Python Live at the Hollywood Bowl,MOVIE,1982,R,77,"['comedy', 'documentation']",['GB'],,tt0084352,7.9,15186.0
73,tm114356,The George McKenna Story,MOVIE,1988,,100,['drama'],['US'],,tt0091106,6.0,901.0
74,tm147829,Unspeakable Acts,MOVIE,1990,,100,['drama'],['US'],,tt0100848,6.0,448.0
75,tm126769,Waiting for the Hearse,MOVIE,1985,,87,['comedy'],['AR'],,tt0089108,8.0,6285.0
76,tm49037,Mobile Suit Gundam III: Encounters in Space,MOVIE,1982,,144,"['animation', 'action', 'drama', 'scifi', 'war']",['JP'],,tt0159511,7.7,1210.0
77,tm159912,Agneepath,MOVIE,1990,,174,"['action', 'crime', 'drama']",['IN'],,tt0098999,7.6,8902.0
78,tm133914,Parrot Sketch Not Included: Twenty Years of Monty Python,MOVIE,1989,,72,['comedy'],['GB'],,tt0213984,8.1,1522.0
79,tm38736,Too Young The Hero,MOVIE,1988,,100,"['drama', 'war']",['US'],,tt0096286,6.7,494.0
80,tm258072,Adam: His Song Continues,MOVIE,1986,,100,"['crime', 'drama']",['US'],,tt0090589,7.0,209.0
81,tm52815,Disco Dancer,MOVIE,1982,,134,"['drama', 'romance']",['IN'],,tt0208903,6.5,1449.0
82,tm137013,The Ryan White Story,MOVIE,1989,,102,['drama'],['US'],,tt0098237,7.2,857.0
83,tm157853,In Defense of a Married Man,MOVIE,1990,,94,"['drama', 'crime']",['US'],,tt0099833,5.6,200.0
84,tm157603,Dil,MOVIE,1990,,172,"['romance', 'comedy', 'drama']",['IN'],,tt0099429,6.6,5273.0
85,tm45720,Bye Bye London,MOVIE,1982,,170,"['comedy', 'drama']",['KW'],,tt10130668,8.7,154.0
86,tm55091,Quiet Victory: The Charlie Wedemeyer Story,MOVIE,1988,,100,['drama'],['US'],,tt0095945,7.1,144.0
87,tm151332,"Alexandria, Again and Forever",MOVIE,1989,,105,['drama'],"['EG', 'FR']",,tt0099858,6.5,643.0
88,tm24110,Strange Voices,MOVIE,1987,,100,['drama'],['US'],,tt0094052,6.3,357.0
89,tm348735,Aakhri Adaalat,MOVIE,1988,,148,"['action', 'crime', 'thriller']",['IN'],,tt0177505,5.1,92.0
90,tm51083,A Stoning in Fulham County,MOVIE,1988,,120,"['crime', 'drama', 'thriller']",['US'],,tt0096179,5.8,380.0
91,tm126791,The Married Couples,MOVIE,1981,,194,['drama'],['EG'],,,,
92,tm186777,Sayed The Servant,MOVIE,1985,,166,['comedy'],['EG'],,,,
93,tm311264,Muqaddar Ka Faisla,MOVIE,1987,,172,"['comedy', 'drama', 'family', 'action']",['IN'],,tt0239682,4.8,68.0
94,tm172482,Sohni Mahiwal,MOVIE,1984,,160,"['romance', 'action', 'drama']",['IN'],,tt0807047,6.1,297.0
95,tm52274,The Little Wars,MOVIE,1982,,108,"['drama', 'war', 'european']","['FR', 'LB']",,tt0084492,6.3,149.0
96,tm132164,Bill Hicks: Sane Man,MOVIE,1989,R,81,['comedy'],['US'],,,,
97,tm342996,Duniya,MOVIE,1984,,170,"['drama', 'action']",['IN'],,tt0301231,6.2,241.0
98,ts63001,High Risk,SHOW,1988,TV-PG,50,['comedy'],['US'],1.0,tt0094478,3.8,6.0
99,tm411457,Pyar Ke Do Pal,MOVIE,1986,,153,"['drama', 'action']",['IN'],,tt0358053,6.1,65.0
100,tm371359,Jaal,MOVIE,1986,,159,"['drama', 'thriller', 'action']",['IN'],,tt0239495,5.2,122.0
101,tm446654,Mujrim,MOVIE,1989,,162,"['drama', 'action', 'crime']",['IN'],,tt0097926,5.4,188.0
102,tm47673,An Egyptian Story,MOVIE,1982,,129,"['fantasy', 'drama']",['EG'],,tt0084042,7.3,1113.0
103,tm419052,Ek Jaan Hain Hum,MOVIE,1983,,151,"['family', 'romance']",['IN'],,tt0379272,6.3,70.0
104,tm11556,The Quick and the Dead,MOVIE,1995,R,107,"['western', 'thriller', 'action', 'romance']","['US', 'JP']",,tt0114214,6.5,92224.0
105,ts20981,Survivor,SHOW,2000,TV-PG,48,['reality'],['US'],42.0,tt0239195,7.4,24368.0
106,ts22176,Stargate SG-1,SHOW,1997,TV-PG,44,"['scifi', 'drama', 'action']","['US', 'CA']",10.0,tt0118480,8.4,90196.0
107,ts21223,Pokémon,SHOW,1997,TV-Y7,22,"['scifi', 'action', 'comedy', 'fantasy', 'animation', 'family']",['JP'],24.0,tt0168366,7.6,172.0
108,tm122434,Forrest Gump,MOVIE,1994,PG-13,142,"['drama', 'romance', 'comedy']",['US'],,tt0109830,8.8,1994599.0
109,tm106462,Happy Gilmore,MOVIE,1996,PG-13,92,"['comedy', 'sport']",['US'],,tt0116483,7.0,217534.0
110,ts20339,One Piece,SHOW,1999,TV-14,23,"['action', 'comedy', 'animation', 'drama', 'fantasy']",['JP'],21.0,tt0388629,8.8,112586.0
111,tm57554,Saving Private Ryan,MOVIE,1998,R,169,"['drama', 'war']",['US'],,tt0120815,8.6,1346020.0
112,ts34435,Cowboy Bebop,SHOW,1998,TV-14,25,"['western', 'action', 'scifi', 'thriller', 'animation', 'comedy', 'drama']",['JP'],1.0,tt0213338,8.9,112887.0
113,ts20927,Star Trek: Deep Space Nine,SHOW,1993,TV-PG,47,"['scifi', 'action', 'drama']",['US'],7.0,tt0106145,8.1,61145.0
114,ts5145,The Challenge,SHOW,1998,TV-14,40,"['reality', 'comedy', 'drama', 'scifi']",['US'],37.0,tt0176095,7.8,3274.0
115,tm192405,Gattaca,MOVIE,1997,PG-13,106,"['thriller', 'drama', 'scifi']",['US'],,tt0119177,7.8,298168.0
116,ts21567,Gilmore Girls,SHOW,2000,TV-14,46,"['comedy', 'drama']",['US'],8.0,tt0238784,8.2,119054.0
117,tm55553,Blade,MOVIE,1998,R,120,"['action', 'scifi', 'horror']",['US'],,tt0120611,7.1,267181.0
118,tm56574,You've Got Mail,MOVIE,1998,PG,119,"['romance', 'drama', 'comedy']",['US'],,tt0128853,6.7,209258.0
119,tm192037,Starship Troopers,MOVIE,1997,R,129,"['scifi', 'thriller', 'action']",['US'],,tt0120201,7.3,288960.0
120,ts20983,Neon Genesis Evangelion,SHOW,1995,TV-14,24,"['scifi', 'action', 'drama', 'thriller', 'fantasy', 'animation']",['JP'],1.0,tt0112159,8.5,64727.0
121,ts22193,The Magic School Bus,SHOW,1994,TV-Y,26,"['scifi', 'comedy', 'family', 'fantasy', 'animation']","['US', 'CA']",4.0,tt0108847,7.8,9708.0
122,tm191989,Donnie Brasco,MOVIE,1997,R,127,"['thriller', 'drama', 'crime']",['US'],,tt0119008,7.7,300073.0
123,ts20960,Power Rangers,SHOW,1993,TV-Y7,22,"['scifi', 'action', 'fantasy', 'family']",['US'],29.0,tt0106064,6.5,21949.0
124,tm65686,U.S. Marshals,MOVIE,1998,PG-13,126,"['thriller', 'crime', 'action']",['US'],,tt0120873,6.5,103263.0
125,ts11397,Adventures of Sonic the Hedgehog,SHOW,1993,TV-Y7,22,"['action', 'animation', 'scifi', 'western', 'fantasy', 'comedy', 'family']",['US'],4.0,tt0222518,6.2,3808.0
126,tm54903,Wild Things,MOVIE,1998,R,108,"['drama', 'thriller', 'crime', 'european']",['US'],,tt0194542,6.6,118811.0
127,tm187187,Last Action Hero,MOVIE,1993,PG-13,130,"['comedy', 'action', 'fantasy']",['US'],,tt0107362,6.4,149290.0
128,tm191772,Seven Years in Tibet,MOVIE,1997,PG-13,136,"['drama', 'history', 'war']",['US'],,tt0120102,7.1,141308.0
129,tm191848,The Devil's Advocate,MOVIE,1997,,144,"['horror', 'thriller', 'drama']","['DE', 'US']",,tt0118971,7.5,361422.0
130,tm121879,A River Runs Through It,MOVIE,1992,PG,123,['drama'],['US'],,tt0105265,7.2,59086.0
131,tm44402,"Girl, Interrupted",MOVIE,1999,R,127,"['drama', 'european']","['US', 'DE']",,tt0172493,7.3,180532.0
132,ts22489,Goosebumps,SHOW,1995,TV-PG,22,"['scifi', 'fantasy', 'horror', 'thriller', 'family', 'music']","['CA', 'US']",4.0,tt0111987,7.6,13361.0
133,ts25252,Yu-Gi-Oh!,SHOW,1998,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",['JP'],7.0,tt4834194,7.2,20888.0
134,ts21034,InuYasha,SHOW,2000,TV-14,25,"['action', 'comedy', 'scifi', 'animation', 'drama', 'fantasy', 'romance']",['JP'],9.0,tt0290223,7.9,15823.0
135,tm53419,Any Given Sunday,MOVIE,1999,R,162,"['drama', 'sport']",['US'],,tt0146838,6.9,118479.0
136,tm189764,Menace II Society,MOVIE,1993,R,97,"['drama', 'crime', 'thriller']",['US'],,tt0107554,7.5,57399.0
137,tm9323,Desperado,MOVIE,1995,R,104,"['thriller', 'action', 'crime', 'western', 'european']",['US'],,tt0112851,7.1,183638.0
138,tm46173,The Mask of Zorro,MOVIE,1998,PG-13,136,"['action', 'thriller', 'western', 'comedy', 'romance']",['US'],,tt0120746,6.8,181306.0
139,tm19673,The Patriot,MOVIE,2000,R,165,"['drama', 'action', 'history', 'war']","['DE', 'US']",,tt0187393,7.2,270231.0
140,tm24877,Road Trip,MOVIE,2000,R,93,['comedy'],['US'],,tt0215129,6.5,167670.0
141,tm189433,Free Willy,MOVIE,1993,PG,112,"['drama', 'family']","['US', 'FR']",,tt0106965,6.0,75244.0
142,ts251477,My First Errand,SHOW,1991,TV-G,19,['reality'],['JP'],12.0,,,
143,tm1822,3 Ninjas Kick Back,MOVIE,1994,PG,93,"['action', 'comedy', 'family', 'sport']","['US', 'JP']",,tt15327306,4.5,9208.0
144,tm187791,In the Line of Fire,MOVIE,1993,R,128,"['drama', 'thriller', 'action', 'crime']",['US'],,tt0107206,7.2,101939.0
145,tm19494,The Replacements,MOVIE,2000,PG-13,118,"['comedy', 'sport']",['US'],,tt0191397,6.6,64087.0
146,tm10739,Johnny Mnemonic,MOVIE,1995,R,97,"['scifi', 'thriller', 'action', 'drama']","['US', 'CA']",,tt0113481,5.6,71062.0
147,tm113576,Little Women,MOVIE,1994,PG,115,"['drama', 'family', 'romance']",['US'],,tt0110367,7.3,57621.0
148,tm191387,Anaconda,MOVIE,1997,PG-13,89,"['thriller', 'horror', 'action']","['PE', 'US', 'BR']",,tt0118615,4.8,103459.0
149,tm6859,My Girl,MOVIE,1991,PG,103,"['comedy', 'drama', 'family', 'romance', 'european']",['US'],,tt0102492,6.9,79800.0
150,tm186589,Cliffhanger,MOVIE,1993,R,112,"['thriller', 'action', 'animation']","['IT', 'US', 'FR']",,tt0106582,6.5,128179.0
151,tm191374,I Know What You Did Last Summer,MOVIE,1997,R,101,"['horror', 'thriller']",['US'],,tt0119345,5.7,142696.0
152,tm8446,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,MOVIE,1991,PG,88,"['scifi', 'action', 'comedy', 'family']","['US', 'HK']",,tt0103060,6.0,55499.0
153,ts8570,Barney & Friends,SHOW,1992,TV-G,28,['family'],['US'],14.0,tt0144701,3.8,9955.0
154,tm21596,Hollow Man,MOVIE,2000,R,112,"['scifi', 'action', 'horror', 'thriller']","['DE', 'US']",,tt0164052,5.8,130099.0
155,tm48430,Godzilla,MOVIE,1998,PG-13,133,"['thriller', 'scifi', 'action']",['US'],,tt0120685,5.4,191722.0
156,tm190835,Neon Genesis Evangelion: The End of Evangelion,MOVIE,1997,,87,"['scifi', 'action', 'drama', 'fantasy', 'animation']",['JP'],,tt0169858,8.0,51938.0
157,tm192199,Spawn,MOVIE,1997,PG-13,96,"['fantasy', 'horror', 'scifi', 'thriller', 'action', 'drama']",['US'],,tt0120177,5.2,67761.0
158,tm184205,Dennis the Menace,MOVIE,1993,PG,95,"['comedy', 'family']",['US'],,tt0106701,5.6,60779.0
159,tm12499,The Net,MOVIE,1995,PG-13,114,"['thriller', 'action', 'crime', 'drama']",['US'],,tt0113957,5.9,66127.0
160,tm192431,The Devil's Own,MOVIE,1997,R,107,"['thriller', 'drama', 'action', 'crime', 'european']",['US'],,tt0962637,6.2,64625.0
161,tm56033,Croupier,MOVIE,1998,R,94,"['thriller', 'european', 'crime', 'drama']","['FR', 'IE', 'GB', 'DE']",,tt0159382,7.0,21382.0
162,tm190486,Teenage Mutant Ninja Turtles III,MOVIE,1993,PG,96,"['fantasy', 'scifi', 'action', 'comedy', 'family']","['HK', 'US']",,tt0108308,4.7,33128.0
163,tm61103,The General's Daughter,MOVIE,1999,R,116,"['drama', 'crime', 'thriller']","['US', 'DE']",,tt0144214,6.4,58726.0
164,tm117488,The Next Karate Kid,MOVIE,1994,PG,107,"['drama', 'family', 'romance', 'sport', 'action']",['US'],,tt0110657,4.5,30138.0
165,tm55732,I Still Know What You Did Last Summer,MOVIE,1998,R,100,"['thriller', 'horror']",['US'],,tt0130018,4.7,73269.0
166,tm191431,Double Team,MOVIE,1997,R,93,"['scifi', 'action', 'comedy', 'thriller']","['US', 'HK']",,tt0119013,4.7,34127.0
167,tm17721,Under Suspicion,MOVIE,2000,R,110,"['thriller', 'crime', 'drama', 'european']",['US'],,tt0164212,6.5,25432.0
168,ts20939,Moesha,SHOW,1996,TV-PG,21,"['drama', 'comedy', 'family']",['US'],6.0,tt0115275,5.7,3713.0
169,ts21693,"Sister, Sister",SHOW,1994,TV-PG,22,"['comedy', 'drama', 'family']",['US'],6.0,tt0108927,6.2,12535.0
170,ts22286,Cardcaptor Sakura,SHOW,1998,TV-Y7,25,"['scifi', 'comedy', 'drama', 'family', 'fantasy', 'romance', 'animation', 'action']",['JP'],4.0,tt0221735,8.0,4936.0
171,tm190811,Geronimo: An American Legend,MOVIE,1993,PG-13,115,"['western', 'drama', 'history']",['US'],,tt0107004,6.5,11506.0
172,tm107659,The Mirror Has Two Faces,MOVIE,1996,PG-13,126,"['romance', 'comedy', 'drama']",['US'],,tt0117057,6.6,19829.0
173,ts21581,Girlfriends,SHOW,2000,TV-PG,21,"['comedy', 'drama']",['US'],8.0,tt0247102,7.2,4482.0
174,tm7135,Bill Hicks: One Night Stand,MOVIE,1991,NC-17,30,['comedy'],['US'],,,,
175,tm7073,Knight Rider 2000,MOVIE,1991,G,91,"['action', 'scifi']",['US'],,tt0102227,4.5,3178.0
176,tm63514,The Last Days,MOVIE,1998,PG-13,87,"['drama', 'documentation', 'war']",['US'],,tt0174852,7.9,4247.0
177,ts20918,The Parkers,SHOW,1999,TV-PG,19,['comedy'],['US'],5.0,tt0200353,6.8,2346.0
178,tm10811,Heavy,MOVIE,1995,R,105,"['romance', 'drama']",['US'],,tt0113280,6.8,4921.0
179,tm188970,Bill Hicks: Revelations,MOVIE,1993,,74,"['comedy', 'documentation']",['GB'],,tt0152183,8.5,3085.0
180,tm188606,Sankofa,MOVIE,1993,,124,"['drama', 'european']","['GH', 'GB', 'US', 'BF', 'DE']",,tt0108041,7.0,678.0
181,tm128073,Bill Hicks: Relentless,MOVIE,1992,,61,['comedy'],['GB'],,,,
182,ts18465,Dale's Supermarket Sweep,SHOW,1993,TV-G,21,[],['GB'],8.0,tt0962853,7.1,39.0
183,tm64817,Jerry Seinfeld: I'm Telling You for the Last Time,MOVIE,1998,G,75,"['comedy', 'documentation']",['US'],,tt0500140,7.9,5834.0
184,tm320211,Children of God,MOVIE,1994,,63,['documentation'],['GB'],,tt6051792,6.4,589.0
185,tm189171,Wild Tango,MOVIE,1993,R,124,"['drama', 'music', 'romance']","['AR', 'ES']",,tt0108291,6.7,1564.0
186,tm67635,Kuch Kuch Hota Hai,MOVIE,1998,G,185,"['drama', 'romance', 'comedy']",['IN'],,tt0172684,7.6,51640.0
187,ts22080,Oggy and the Cockroaches,SHOW,1999,TV-Y7,9,"['comedy', 'family', 'action', 'animation', 'european']",['FR'],7.0,tt0213363,7.4,4185.0
188,ts22039,H,SHOW,1998,TV-MA,25,['comedy'],['FR'],4.0,tt0173554,7.4,1703.0
189,tm41525,Herod's Law,MOVIE,1999,R,120,"['drama', 'comedy', 'crime']",['MX'],,tt0221344,7.8,5943.0
190,tm7951,Tim Allen: Rewires America,MOVIE,1991,PG,30,"['comedy', 'documentation']",['US'],,tt0294967,5.9,195.0
191,ts21684,Heartbreak High,SHOW,1994,TV-MA,47,"['drama', 'romance', 'comedy']",['AU'],7.0,tt0108800,7.8,3106.0
192,tm55100,Dil Se..,MOVIE,1998,PG-13,163,"['drama', 'romance']",['IN'],,tt0164538,7.5,28409.0
193,ts224786,Escalona,SHOW,1991,TV-MA,44,['drama'],['CO'],1.0,,,
194,tm204173,Aashik Aawara,MOVIE,1993,,153,"['romance', 'comedy', 'drama']",['IN'],,tt0106206,4.7,320.0
195,tm191614,Destiny,MOVIE,1997,,136,"['drama', 'romance', 'comedy', 'history']","['EG', 'FR']",,tt0119629,7.1,2825.0
196,tm8859,Oh Darling! Yeh Hai India!,MOVIE,1995,G,153,['comedy'],['IN'],,tt0114031,4.0,1678.0
197,tm424630,A Triumph of the Heart: The Ricky Bell Story,MOVIE,1991,,100,"['drama', 'sport']",['US'],,tt0103123,7.2,248.0
198,tm12876,Bombay,MOVIE,1995,,141,"['romance', 'drama']",['IN'],,tt0112553,8.1,12512.0
199,tm52083,West Beirut,MOVIE,1998,PG-13,105,"['romance', 'war', 'comedy', 'drama', 'european']","['BE', 'FR', 'NO', 'LB']",,tt0157183,7.6,4175.0
200,tm9898,Muthu,MOVIE,1995,G,165,"['drama', 'comedy', 'romance', 'action']",['IN'],,tt0140399,7.6,3056.0
201,tm326102,Qila,MOVIE,1998,,160,"['drama', 'music', 'family']",['IN'],,tt0286907,4.8,129.0
202,tm12482,Ram Jaane,MOVIE,1995,,172,"['action', 'drama', 'romance', 'crime']",['IN'],,tt0114231,5.4,3901.0
203,tm128925,Chamatkar,MOVIE,1992,G,171,"['comedy', 'fantasy', 'drama', 'crime']",['IN'],,tt0126234,6.5,6199.0
204,tm52871,Soldier,MOVIE,1998,,156,"['thriller', 'action', 'drama', 'romance']",['IN'],,tt0211634,6.2,3025.0
205,ts28516,Okupas,SHOW,2000,TV-MA,40,"['crime', 'drama']",['AR'],1.0,tt0289649,9.0,2326.0
206,tm62385,Hum Saath Saath Hain,MOVIE,1999,G,177,"['fantasy', 'romance', 'family', 'drama']",['IN'],,tt0216817,6.2,8454.0
207,tm184502,Kabhi Haan Kabhi Naa,MOVIE,1994,G,158,"['comedy', 'drama', 'music', 'romance']",['IN'],,tt0110222,7.6,18224.0
